sequence_id,event,cluster_name,old_label,new_label,action,source_file,output_file,reason
10383544_tsb_4_grasp_21_1,grasp,Focused,1,1,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/10383544_tsb_4_grasp_21_1.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/10383544_tsb_4_grasp_21_1.jsonl,ok
10383544_tsb_5_grasp_22_1,grasp,Focused,1,1,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/10383544_tsb_5_grasp_22_1.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/10383544_tsb_5_grasp_22_1.jsonl,ok
10383544_tsb_6_grasp_19_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
10383544_tsb_7_grasp_11_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
10383544_tsb_8_grasp_8_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
10383544_tsb_9_grasp_2_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19125832_house_1_grasp_10_1,grasp,Focused,1,1,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/19125832_house_1_grasp_10_1.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/19125832_house_1_grasp_10_1.jsonl,ok
19125832_house_2_grasp_9_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19125832_house_3_grasp_8_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19125832_house_4_grasp_21_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19125832_house_5_grasp_22_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19125832_house_7_grasp_18_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19125832_sc_1_grasp_7_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19125832_sc_3_grasp_11_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19125832_sc_7_grasp_2_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19125832_sc_8_grasp_1_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19125832_tb_1_grasp_7_1,grasp,Focused,1,1,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/19125832_tb_1_grasp_7_1.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/19125832_tb_1_grasp_7_1.jsonl,ok
19125832_tb_3_grasp_18_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19125832_tb_4_grasp_19_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19125832_tb_6_grasp_5_1,grasp,Focused,1,1,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/19125832_tb_6_grasp_5_1.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/19125832_tb_6_grasp_5_1.jsonl,ok
19125832_tb_7_grasp_2_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19125832_tc_1_grasp_12_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19125832_tc_4_grasp_2_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19125832_tc_7_grasp_8_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19125832_tsb_10_grasp_1_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19125832_tsb_12_grasp_10_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19125832_tsb_1_grasp_13_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19125832_tsb_3_grasp_18_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19125832_tsb_4_grasp_21_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19125832_tsb_5_grasp_22_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19125832_tsb_6_grasp_19_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19125832_tsb_7_grasp_11_1,grasp,Focused,1,1,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/19125832_tsb_7_grasp_11_1.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/19125832_tsb_7_grasp_11_1.jsonl,ok
19125832_tsb_8_grasp_8_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19125832_tsb_9_grasp_2_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19379603_car_1_grasp_4_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19379603_car_3_grasp_2_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19379603_car_4_grasp_1_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19379603_car_5_grasp_8_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19379603_car_6_grasp_7_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19379603_house_1_grasp_10_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19379603_house_2_grasp_9_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19379603_house_3_grasp_8_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19379603_house_4_grasp_21_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19379603_house_5_grasp_22_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19379603_house_7_grasp_18_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19379603_sc_2_grasp_6_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19379603_sc_3_grasp_11_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19379603_sc_7_grasp_2_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19379603_sc_8_grasp_1_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19379603_sc_9_grasp_0_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19379603_tb_3_grasp_18_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19379603_tb_7_grasp_2_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19379603_tc_2_grasp_13_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19379603_tc_5_grasp_1_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19379603_tc_6_grasp_0_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19379603_tc_9_grasp_6_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19646926_car_2_grasp_3_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19646926_car_3_grasp_2_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19646926_car_6_grasp_7_0,grasp,Distracted,0,0,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/19646926_car_6_grasp_7_0.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/19646926_car_6_grasp_7_0.jsonl,ok
19646926_house_1_grasp_10_1,grasp,Focused,1,1,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/19646926_house_1_grasp_10_1.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/19646926_house_1_grasp_10_1.jsonl,ok
19646926_house_2_grasp_9_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19646926_house_4_grasp_21_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19646926_house_5_grasp_22_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19646926_house_6_grasp_23_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19646926_house_7_grasp_18_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19646926_house_8_grasp_19_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19646926_sc_1_grasp_7_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19646926_sc_2_grasp_6_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19646926_sc_3_grasp_11_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19646926_sc_4_grasp_10_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19646926_sc_5_grasp_9_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19646926_sc_6_grasp_5_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19646926_sc_7_grasp_2_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19646926_sc_8_grasp_1_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19646926_tb_1_grasp_7_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19646926_tb_3_grasp_18_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19646926_tb_4_grasp_19_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19646926_tb_6_grasp_5_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19646926_tc_1_grasp_12_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19646926_tc_2_grasp_13_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19646926_tc_4_grasp_2_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19646926_tc_5_grasp_1_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19646926_tc_6_grasp_0_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19646926_tsb_11_grasp_0_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
19646926_tsb_3_grasp_18_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19646926_tsb_4_grasp_21_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19646926_tsb_5_grasp_22_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
19646926_tsb_7_grasp_11_1,grasp,Focused,1,1,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/19646926_tsb_7_grasp_11_1.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/19646926_tsb_7_grasp_11_1.jsonl,ok
19646926_tsb_8_grasp_8_1,grasp,Focused,1,1,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/19646926_tsb_8_grasp_8_1.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/19646926_tsb_8_grasp_8_1.jsonl,ok
19646926_tsb_9_grasp_2_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
20325714_house_1_grasp_10_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
20325714_house_2_grasp_9_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
20325714_house_3_grasp_8_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
20325714_house_4_grasp_21_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
20325714_house_5_grasp_22_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
20325714_house_6_grasp_23_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
20325714_sc_1_grasp_7_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
20325714_sc_3_grasp_11_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
20325714_sc_6_grasp_5_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
20325714_sc_8_grasp_1_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
20325714_sc_9_grasp_0_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
20325714_tb_6_grasp_5_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
20325714_tc_1_grasp_12_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
20325714_tc_7_grasp_8_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
20325714_tc_9_grasp_6_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
20325714_tsb_12_grasp_10_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
20325714_tsb_5_grasp_22_1,grasp,Focused,1,1,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/20325714_tsb_5_grasp_22_1.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/20325714_tsb_5_grasp_22_1.jsonl,ok
20325714_tsb_7_grasp_11_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
20325714_tsb_9_grasp_2_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21053630_car_1_grasp_4_1,grasp,Focused,1,1,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/21053630_car_1_grasp_4_1.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/21053630_car_1_grasp_4_1.jsonl,ok
21053630_car_2_grasp_3_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21053630_car_3_grasp_2_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21053630_car_5_grasp_8_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21053630_car_6_grasp_7_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21053630_house_2_grasp_9_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21053630_house_4_grasp_21_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21053630_house_5_grasp_22_1,grasp,Focused,1,1,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/21053630_house_5_grasp_22_1.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/21053630_house_5_grasp_22_1.jsonl,ok
21053630_sc_3_grasp_11_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21053630_sc_6_grasp_5_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21053630_sc_8_grasp_1_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21053630_sc_9_grasp_0_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21053630_tb_1_grasp_7_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21053630_tb_3_grasp_18_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21053630_tb_4_grasp_19_1,grasp,Focused,1,1,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/21053630_tb_4_grasp_19_1.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/21053630_tb_4_grasp_19_1.jsonl,ok
21053630_tb_6_grasp_5_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21053630_tb_7_grasp_2_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21053630_tc_1_grasp_12_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21053630_tc_7_grasp_8_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21053630_tsb_11_grasp_0_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21053630_tsb_12_grasp_10_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21053630_tsb_2_grasp_14_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21053630_tsb_3_grasp_18_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21053630_tsb_4_grasp_21_1,grasp,Focused,1,1,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/21053630_tsb_4_grasp_21_1.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/21053630_tsb_4_grasp_21_1.jsonl,ok
21053630_tsb_5_grasp_22_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21053630_tsb_6_grasp_19_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21053630_tsb_7_grasp_11_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21053630_tsb_8_grasp_8_1,grasp,Focused,1,1,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/21053630_tsb_8_grasp_8_1.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/21053630_tsb_8_grasp_8_1.jsonl,ok
21053630_tsb_9_grasp_2_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21153321_car_1_grasp_4_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21153321_house_1_grasp_10_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21153321_house_2_grasp_9_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21153321_house_3_grasp_8_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21153321_house_4_grasp_21_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21153321_house_7_grasp_18_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21153321_sc_8_grasp_1_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21153321_sc_9_grasp_0_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21153321_tb_1_grasp_7_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21153321_tb_3_grasp_18_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21153321_tb_6_grasp_5_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21153321_tb_7_grasp_2_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21153321_tc_4_grasp_2_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21153321_tc_6_grasp_0_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21153321_tc_8_grasp_7_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21153321_tsb_12_grasp_10_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21153321_tsb_3_grasp_18_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21347602_car_5_grasp_8_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21347602_car_6_grasp_7_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21347602_sc_1_grasp_7_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21347602_sc_3_grasp_11_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21347602_sc_4_grasp_10_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21347602_sc_5_grasp_9_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21347602_sc_7_grasp_2_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21347602_sc_8_grasp_1_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21347602_tb_3_grasp_18_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21347602_tb_6_grasp_5_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21347602_tc_1_grasp_12_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21347602_tc_2_grasp_13_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21347602_tc_5_grasp_1_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21347602_tsb_10_grasp_1_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21347602_tsb_12_grasp_10_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21347602_tsb_3_grasp_18_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21347602_tsb_4_grasp_21_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21347602_tsb_7_grasp_11_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21347602_tsb_8_grasp_8_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21347602_tsb_9_grasp_2_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21843109_car_1_grasp_4_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21843109_car_5_grasp_8_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21843109_car_6_grasp_7_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21843109_house_1_grasp_10_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21843109_house_2_grasp_9_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21843109_house_4_grasp_21_1,grasp,Focused,1,1,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/21843109_house_4_grasp_21_1.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/21843109_house_4_grasp_21_1.jsonl,ok
21843109_house_7_grasp_18_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21843109_house_8_grasp_19_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21843109_sc_2_grasp_6_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21843109_sc_3_grasp_11_1,grasp,Focused,1,1,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/21843109_sc_3_grasp_11_1.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/21843109_sc_3_grasp_11_1.jsonl,ok
21843109_sc_5_grasp_9_1,grasp,Focused,1,1,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/21843109_sc_5_grasp_9_1.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/21843109_sc_5_grasp_9_1.jsonl,ok
21843109_sc_6_grasp_5_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21843109_sc_8_grasp_1_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21843109_sc_9_grasp_0_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21843109_tb_1_grasp_7_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21843109_tb_2_grasp_6_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21843109_tb_3_grasp_18_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21843109_tb_4_grasp_19_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21843109_tb_6_grasp_5_1,grasp,Focused,1,1,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/21843109_tb_6_grasp_5_1.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/21843109_tb_6_grasp_5_1.jsonl,ok
21843109_tc_1_grasp_12_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21843109_tc_2_grasp_13_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21843109_tc_3_grasp_14_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21843109_tc_4_grasp_2_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21843109_tc_7_grasp_8_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21843109_tc_9_grasp_6_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21843109_tsb_10_grasp_1_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21843109_tsb_1_grasp_13_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21843109_tsb_2_grasp_14_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
21843109_tsb_3_grasp_18_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21843109_tsb_4_grasp_21_1,grasp,Focused,1,1,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/21843109_tsb_4_grasp_21_1.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/21843109_tsb_4_grasp_21_1.jsonl,ok
21843109_tsb_5_grasp_22_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21843109_tsb_6_grasp_19_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21843109_tsb_7_grasp_11_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21843109_tsb_8_grasp_8_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
21843109_tsb_9_grasp_2_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
245213_car_5_grasp_8_0,grasp,Distracted,0,0,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/245213_car_5_grasp_8_0.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/245213_car_5_grasp_8_0.jsonl,ok
245213_house_2_grasp_9_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
245213_house_4_grasp_21_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
245213_sc_6_grasp_5_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
245213_tb_6_grasp_5_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
245213_tc_7_grasp_8_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
245213_tc_8_grasp_7_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
245213_tsb_12_grasp_10_1,grasp,Focused,1,1,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/245213_tsb_12_grasp_10_1.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/245213_tsb_12_grasp_10_1.jsonl,ok
245213_tsb_3_grasp_18_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
26239669_car_1_grasp_4_0,grasp,Distracted,0,0,copied,/root/autodl-tmp/shenxy/Data/gaipat/block_deviation_sequences_256/26239669_car_1_grasp_4_0.jsonl,/root/autodl-tmp/shenxy/Data/gaipat/final_relabelled/grasp/26239669_car_1_grasp_4_0.jsonl,ok
26239669_car_3_grasp_2_1,grasp,Wandering,1,2,discarded,,,discard_label_not_copied
26239669_car_5_grasp_8_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
26239669_car_6_grasp_7_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
26239669_house_1_grasp_10_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
26239669_house_2_grasp_9_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
26239669_house_3_grasp_8_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
26239669_house_4_grasp_21_1,grasp,Searching,1,3,discarded,,,discard_label_not_copied
